3411,"Leucadia National                                 ","direct                                            ",52
1601,"New York Life Insurance                           ","direct                                            ",51
2731,"Colgate-Palmolive                                 ","direct                                            ",51
2051,"Philip Morris International                       ","direct                                            ",49
2351,"AutoNation                                        ","direct                                            ",48
2871,"FirstEnergy                                       ","direct                                            ",48
3471,"ADP                                               ","direct                                            ",48
3491,"BlackRock                                         ","direct                                            ",48
3911,"Charter Communications                            ","direct                                            ",48
1571,"FedEx                                             ","direct                                            ",47
2481,"Altria Group                                      ","direct                                            ",47
2931,"Western Digital                                   ","direct                                            ",47
4151,"Mosaic                                            ","direct                                            ",47
4311,"American Family Insurance Group                   ","direct                                            ",47
1411,"Marathon Petroleum                                ","direct                                            ",46
1531,"Cisco Systems                                     ","direct                                            ",46
3051,"Ecolab                                            ","direct                                            ",46
4161,"Core-Mark Holding                                 ","direct                                            ",46
