"Northeast                                         ","Walmart                                           ",$5.76
"Northeast                                         ","Walmart                                           ",$5.97
"Northeast                                         ","Walmart                                           ",$5.88
"Northeast                                         ","Walmart                                           ",$5.44
"Northeast                                         ","Walmart                                           ",$5.96
"Northeast                                         ","Walmart                                           ",$6.17
"Northeast                                         ","Walmart                                           ",$6.63
"Northeast                                         ","Walmart                                           ",$7.00
"Northeast                                         ","Walmart                                           ",$5.83
"Northeast                                         ","Walmart                                           ",$5.94
"Northeast                                         ","Walmart                                           ",$5.65
"Northeast                                         ","Walmart                                           ",$6.03
"Northeast                                         ","Walmart                                           ",$6.02
"Northeast                                         ","Walmart                                           ",$6.78
"Northeast                                         ","Walmart                                           ",$6.11
"Northeast                                         ","Walmart                                           ",$6.39
"Northeast                                         ","Exxon Mobil                                       ",$5.05
"Northeast                                         ","Apple                                             ",$5.10
"Northeast                                         ","Apple                                             ",$5.26
"Northeast                                         ","Apple                                             ",$5.12
"Northeast                                         ","Apple                                             ",$5.18
"Northeast                                         ","Apple                                             ",$5.06
"Northeast                                         ","Apple                                             ",$5.09
"Northeast                                         ","Berkshire Hathaway                                ",$5.48
"Northeast                                         ","McKesson                                          ",$5.71
"Northeast                                         ","McKesson                                          ",$5.16
"Northeast                                         ","McKesson                                          ",$5.70
"Northeast                                         ","UnitedHealth Group                                ",$5.35
"Northeast                                         ","UnitedHealth Group                                ",$5.20
"Northeast                                         ","UnitedHealth Group                                ",$5.00
"Northeast                                         ","UnitedHealth Group                                ",$5.39
"Northeast                                         ","UnitedHealth Group                                ",$5.08
"Northeast                                         ","UnitedHealth Group                                ",$5.00
"Northeast                                         ","CVS Health                                        ",$5.54
"Northeast                                         ","CVS Health                                        ",$5.22
"Northeast                                         ","CVS Health                                        ",$5.33
"Northeast                                         ","General Motors                                    ",$5.15
"Northeast                                         ","Ford Motor                                        ",$5.60
"Northeast                                         ","Ford Motor                                        ",$5.22
"Northeast                                         ","Ford Motor                                        ",$5.32
"Northeast                                         ","Ford Motor                                        ",$5.41
"Northeast                                         ","Ford Motor                                        ",$5.72
"Northeast                                         ","Ford Motor                                        ",$5.51
"Northeast                                         ","Ford Motor                                        ",$5.26
"Northeast                                         ","Ford Motor                                        ",$5.39
"Northeast                                         ","Ford Motor                                        ",$5.38
"Northeast                                         ","Ford Motor                                        ",$5.27
"Northeast                                         ","Ford Motor                                        ",$6.28
"Northeast                                         ","Ford Motor                                        ",$5.40
"Northeast                                         ","Ford Motor                                        ",$5.57
"Northeast                                         ","Ford Motor                                        ",$5.20
"Northeast                                         ","Ford Motor                                        ",$5.72
"Northeast                                         ","Ford Motor                                        ",$5.33
"Northeast                                         ","Ford Motor                                        ",$5.51
"Northeast                                         ","Ford Motor                                        ",$5.47
"Northeast                                         ","Ford Motor                                        ",$5.91
"Northeast                                         ","Ford Motor                                        ",$5.20
"Northeast                                         ","Ford Motor                                        ",$5.32
"Northeast                                         ","Ford Motor                                        ",$5.22
"Northeast                                         ","AT&T                                              ",$5.34
"Northeast                                         ","AT&T                                              ",$5.61
"Northeast                                         ","AT&T                                              ",$6.44
"Northeast                                         ","AT&T                                              ",$5.44
"Northeast                                         ","AT&T                                              ",$5.34
"Northeast                                         ","AT&T                                              ",$6.27
