"3M                                                ",313.000000,280.000000,112.000000
"Abbott Laboratories                               ",201.000000,197.000000,92.000000
"AbbVie                                            ",238.000000,278.000000,59.000000
"ADP                                               ",355.000000,61.000000,62.000000
"Advance Auto Parts                                ",274.000000,20.000000,28.000000
"AECOM                                             ",364.000000,14.000000,17.000000
"AES                                               ",255.000000,304.000000,98.000000
"Aetna                                             ",229.000000,212.000000,238.000000
"Aflac                                             ",450.000000,31.000000,87.000000
"AIG                                               ",301.000000,349.000000,108.000000
"Air Products & Chemicals                          ",207.000000,172.000000,79.000000
"Alcoa                                             ",311.000000,10.000000,22.000000
"Allstate                                          ",269.000000,215.000000,113.000000
"Ally Financial                                    ",304.000000,300.000000,117.000000
"Alphabet                                          ",317.000000,250.000000,122.000000
"Altria Group                                      ",381.000000,22.000000,26.000000
"Amazon.com                                        ",195.000000,196.000000,141.000000
"American Airlines Group                           ",370.000000,23.000000,88.000000
"American Electric Power                           ",296.000000,23.000000,29.000000
"American Express                                  ",308.000000,43.000000,15.000000
"American Family Insurance Group                   ",376.000000,31.000000,71.000000
"Ameriprise Financial                              ",383.000000,25.000000,28.000000
"AmerisourceBergen                                 ",178.000000,262.000000,842.000000
"Amgen                                             ",234.000000,252.000000,129.000000
"Anadarko Petroleum                                ",183.000000,183.000000,114.000000
"Anthem                                            ",363.000000,35.000000,23.000000
"Apple                                             ",315.000000,48.000000,18.000000
"Applied Materials                                 ",74.000000,116.000000,39.000000
"Aramark                                           ",120.000000,127.000000,143.000000
"Archer Daniels Midland                            ",198.000000,245.000000,162.000000
"Arrow Electronics                                 ",191.000000,263.000000,156.000000
"Assurant                                          ",117.000000,22.000000,60.000000
"AT&T                                              ",107.000000,42.000000,43.000000
"Autoliv                                           ",223.000000,182.000000,117.000000
"AutoNation                                        ",336.000000,45.000000,50.000000
"AutoZone                                          ",203.000000,240.000000,162.000000
"Avis Budget Group                                 ",209.000000,228.000000,150.000000
"Avnet                                             ",249.000000,310.000000,109.000000
"Baker Hughes                                      ",224.000000,195.000000,81.000000
"Ball                                              ",304.000000,34.000000,26.000000
"Bank of America Corp.                             ",258.000000,247.000000,92.000000
"Bank of New York Mellon Corp.                     ",370.000000,24.000000,16.000000
"Baxter International                              ",403.000000,21.000000,44.000000
"BB&T Corp.                                        ",364.000000,219.000000,184.000000
"Becton Dickinson                                  ",193.000000,213.000000,128.000000
"Bed Bath & Beyond                                 ",79.000000,75.000000,14.000000
"Berkshire Hathaway                                ",1148.000000,0.000000,215.000000
"Best Buy                                          ",129.000000,234.000000,53.000000
"Biogen                                            ",208.000000,230.000000,137.000000
"BlackRock                                         ",395.000000,48.000000,26.000000
"Boeing                                            ",360.000000,222.000000,108.000000
"BorgWarner                                        ",185.000000,248.000000,119.000000
"Bristol-Myers Squibb                              ",271.000000,271.000000,124.000000
"Broadcom                                          ",188.000000,269.000000,151.000000
"C.H. Robinson Worldwide                           ",168.000000,256.000000,120.000000
"Cameron International                             ",403.000000,29.000000,22.000000
"Campbell Soup                                     ",172.000000,265.000000,179.000000
"Capital One Financial                             ",244.000000,270.000000,72.000000
"Cardinal Health                                   ",250.000000,39.000000,32.000000
"CarMax                                            ",222.000000,194.000000,150.000000
"Caterpillar                                       ",302.000000,380.000000,93.000000
"CBRE Group                                        ",289.000000,284.000000,159.000000
"CBS                                               ",297.000000,32.000000,853.000000
