1851,"Gilead Sciences                                   ","facebook                                          ",16
1881,"TJX                                               ","facebook                                          ",15
2351,"AutoNation                                        ","facebook                                          ",14
3911,"Charter Communications                            ","facebook                                          ",13
1521,"Disney                                            ","facebook                                          ",12
1411,"Marathon Petroleum                                ","facebook                                          ",12
2051,"Philip Morris International                       ","facebook                                          ",12
1791,"United Continental Holdings                       ","facebook                                          ",11
3051,"Ecolab                                            ","facebook                                          ",11
4211,"EOG Resources                                     ","facebook                                          ",11
2731,"Colgate-Palmolive                                 ","facebook                                          ",10
3491,"BlackRock                                         ","facebook                                          ",10
1451,"Aetna                                             ","facebook                                          ",10
4451,"Lithia Motors                                     ","facebook                                          ",10
4151,"Mosaic                                            ","facebook                                          ",10
1601,"New York Life Insurance                           ","facebook                                          ",10
2871,"FirstEnergy                                       ","facebook                                          ",10
1181,"Walgreens Boots Alliance                          ","facebook                                          ",10
2411,"Southwest Airlines                                ","facebook                                          ",9
2971,"Kinder Morgan                                     ","facebook                                          ",9
2601,"General Mills                                     ","facebook                                          ",9
1751,"Massachusetts Mutual Life Insurance               ","facebook                                          ",9
1021,"Apple                                             ","facebook                                          ",9
2181,"Arrow Electronics                                 ","facebook                                          ",9
4181,"Cameron International                             ","facebook                                          ",9
3471,"ADP                                               ","facebook                                          ",9
3981,"CST Brands                                        ","facebook                                          ",9
2381,"Dollar General                                    ","facebook                                          ",9
4161,"Core-Mark Holding                                 ","facebook                                          ",8
1531,"Cisco Systems                                     ","facebook                                          ",8
2461,"Paccar                                            ","facebook                                          ",8
2541,"Fluor                                             ","facebook                                          ",8
1871,"General Dynamics                                  ","facebook                                          ",8
4061,"PayPal Holdings                                   ","facebook                                          ",8
4491,"PPL                                               ","facebook                                          ",8
1261,"Wells Fargo                                       ","facebook                                          ",7
4241,"Laboratory Corp. of America                       ","facebook                                          ",7
3411,"Leucadia National                                 ","facebook                                          ",7
1271,"Home Depot                                        ","facebook                                          ",7
1741,"Honeywell International                           ","facebook                                          ",7
1221,"J.P. Morgan Chase                                 ","facebook                                          ",7
3231,"Parker-Hannifin                                   ","facebook                                          ",7
4291,"Avis Budget Group                                 ","facebook                                          ",7
1701,"Best Buy                                          ","facebook                                          ",7
3991,"eBay                                              ","facebook                                          ",7
3261,"Farmers Insurance Exchange                        ","facebook                                          ",7
